 Subcycle   Step   binding_Energy   VDW_Energy   ELE+EGB_Energy  Scaled_Peptide_
 Energy
    4   48  -13.4508  -37.7032   24.2523    0.0000
    4   49  -16.7379  -39.2564   22.5186    0.0000
    4   50  -20.3356  -41.3725   21.0369    0.0000
    4   51  -20.3356  -41.3725   21.0369    0.0000
    4   52  -13.3201  -31.3276   18.0074    0.0000
    4   53  -13.3201  -31.3276   18.0074    0.0000
    4   54  -16.5764  -34.9166   18.3401    0.0000
    4   55  -15.3741  -35.8896   20.5155    0.0000
    4   56  -15.3741  -35.8896   20.5155    0.0000
    4   57  -15.3741  -35.8896   20.5155    0.0000
    4   58  -16.6874  -36.8061   20.1186    0.0000
    4   59  -16.6874  -36.8061   20.1186    0.0000
    4   60  -19.1840  -39.2615   20.0776    0.0000
    4   61  -18.5524  -41.7599   23.2075    0.0000
    4   62  -17.8559  -41.0397   23.1838    0.0000
    4   63  -16.7470  -41.0854   24.3384    0.0000
    4   64  -16.7470  -41.0854   24.3384    0.0000
    4   65  -18.0991  -44.2484   26.1493    0.0000
    4   66  -17.3353  -43.0579   25.7226    0.0000
    4   67  -14.9840  -39.7773   24.7932    0.0000
    4   68  -18.4610  -41.8418   23.3809    0.0000
    4   69  -21.6861  -45.7161   24.0301    0.0000
    4   70  -20.6025  -47.4781   26.8757    0.0000
    4   71  -19.2740  -49.9112   30.6373    0.0000
    4   72  -19.2740  -49.9112   30.6373    0.0000
    4   73  -19.2740  -49.9112   30.6373    0.0000
    4   74  -17.3797  -46.8216   29.4420    0.0000
    4   75  -19.0740  -50.4494   31.3754    0.0000
    5    0  -26.8688  -50.9970   24.1282    0.0000
    5    1  -28.7117  -52.3255   23.6138    0.0000
    5    2  -28.7117  -52.3255   23.6138    0.0000
    5    3  -25.7159  -47.2059   21.4899    0.0000
    5    4  -21.9517  -47.3343   25.3826    0.0000
    5    5  -15.9429  -40.3318   24.3889    0.0000
    5    6  -17.5549  -42.5110   24.9561    0.0000
    5    7  -15.6342  -38.8955   23.2612    0.0000
    5    8  -24.2153  -48.5681   24.3529    0.0000
    5    9  -25.8322  -50.0290   24.1969    0.0000
    5   10  -22.0624  -45.3424   23.2800    0.0000
    5   11  -23.6681  -46.7581   23.0900    0.0000
    5   12  -19.0605  -44.0189   24.9584    0.0000
    5   13  -19.7334  -46.2195   26.4861    0.0000
    5   14  -15.6577  -40.5141   24.8563    0.0000
    5   15  -17.1276  -39.8316   22.7040    0.0000
    5   16  -17.4082  -38.0530   20.6447    0.0000
    5   17  -20.5394  -43.0445   22.5051    0.0000
    5   18  -15.5440  -36.0002   20.4562    0.0000
